"filename", "language", "JavaScript", "JSON", "Dotenv", "comment", "blank", "total"
"d:\Javascript\Backend-Understanding-Project\.env", "Dotenv", 0, 0, 4, 0, 3, 7
"d:\Javascript\Backend-Understanding-Project\app.js", "JavaScript", 18, 0, 0, 0, 5, 23
"d:\Javascript\Backend-Understanding-Project\controllers\auth.controller.js", "JavaScript", 46, 0, 0, 0, 14, 60
"d:\Javascript\Backend-Understanding-Project\controllers\board.controller.js", "JavaScript", 67, 0, 0, 0, 19, 86
"d:\Javascript\Backend-Understanding-Project\controllers\workspace.controller.js", "JavaScript", 74, 0, 0, 0, 22, 96
"d:\Javascript\Backend-Understanding-Project\database\mongodb.js", "JavaScript", 17, 0, 0, 0, 10, 27
"d:\Javascript\Backend-Understanding-Project\middlewares\auth.middleware.js", "JavaScript", 21, 0, 0, 0, 4, 25
"d:\Javascript\Backend-Understanding-Project\middlewares\error.middleware.js", "JavaScript", 29, 0, 0, 3, 9, 41
"d:\Javascript\Backend-Understanding-Project\middlewares\permission.middleware.js", "JavaScript", 22, 0, 0, 0, 10, 32
"d:\Javascript\Backend-Understanding-Project\models\board.model.js", "JavaScript", 9, 0, 0, 0, 2, 11
"d:\Javascript\Backend-Understanding-Project\models\user.model.js", "JavaScript", 29, 0, 0, 0, 7, 36
"d:\Javascript\Backend-Understanding-Project\models\workspace.model.js", "JavaScript", 9, 0, 0, 0, 3, 12
"d:\Javascript\Backend-Understanding-Project\package-lock.json", "JSON", 0, 1561, 0, 0, 1, 1562
"d:\Javascript\Backend-Understanding-Project\package.json", "JSON", 0, 16, 0, 0, 1, 17
"d:\Javascript\Backend-Understanding-Project\routes\auth.routes.js", "JavaScript", 6, 0, 0, 0, 5, 11
"d:\Javascript\Backend-Understanding-Project\routes\workspaces.routes.js", "JavaScript", 16, 0, 0, 2, 7, 25
"Total", "-", 363, 1577, 4, 5, 122, 2071
